tenure,remote_caring_hrs,productivity_remote,birth_year,industry,expect_employer_changes,expect_more_choice,easy_permission,post_covid_preference,is_manager,response_id,office_working_hrs,remote_working_hrs,household_type,office_personal_hrs,office_caring_hrs,remote_time_last_year,preferred_remote_last_year,gender,occupation,expect_employer_encourage,org_size,remote_personal_hrs,org_prepared,remote_commute_hrs,org_encouraged_remote,remote_was_common,easy_collaboration,year,office_commute_hrs,location
Between 1 and 5 years,3.0,My productivity is about same when I work remotely,1986,Public Administration and Safety,Somewhat unlikely,Very unlikely,Strongly disagree,40%,Yes,182,8.5,8.0,Couple with dependent children,6.0,2.0,40%,40%,Female,Managers - Specialist Managers,Very unlikely,More than 200,6.0,Somewhat agree,0.0,Strongly agree,Somewhat disagree,Strongly agree,2021,1.0,Regional
Between 6 and 12 months,4.0,I’m 10% more productive when working remotely,1981,"Rental, Hiring and Real Estate",Neither unlikely or likely,Neither unlikely or likely,Neither agree nor disagree,100% - All of my time,No,183,8.0,9.0,Couple with dependent children,5.0,3.0,90%,80%,Female,Sales workers - Sales Representatives and Agents,Neither unlikely or likely,Between 20 and 199,5.0,Neither agree nor disagree,1.0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2021,2.0,Metro
Between 1 and 5 years,4.0,My productivity is about same when I work remotely,1988,Retail Trade,Somewhat unlikely,Somewhat unlikely,Somewhat agree,20%,Yes,184,10.0,10.0,Couple with no dependent children,2.0,4.0,70%,50% - About half of my time,Female,"Managers - Chief Executives, General Managers and Legislators",Somewhat unlikely,More than 200,2.5,Neither agree nor disagree,0.5,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,2021,1.0,Metro
More than 5 years,6.0,I’m 20% more productive when working remotely,1984,"Professional, Scientific and Technical",Somewhat likely,Very likely,Strongly agree,100% - All of my time,Yes,185,8.0,8.0,Single person,1.0,2.0,100% - I spent all of my time remote working,100% - All of my time,Female,"Managers - Chief Executives, General Managers and Legislators",Very unlikely,Between 20 and 199,1.0,Strongly agree,1.0,Strongly disagree,Somewhat agree,Strongly agree,2021,6.0,Regional
More than 5 years,3.0,I’m 50% less productive when working remotely (or worse),1994,Other Services,Very likely,Very likely,Strongly agree,I would prefer not to work remotely,No,186,12.0,12.0,One parent family with dependent children,2.0,3.0,50% - I spent about half of my time remote working,50% - About half of my time,Female,Professionals - Health Professionals,Very unlikely,Between 1 and 4,3.0,Somewhat disagree,1.0,Strongly agree,Strongly agree,Strongly disagree,2021,1.0,Metro
More than 5 years,3.0,I’m 10% more productive when working remotely,1990,Financial and Insurance,Somewhat unlikely,Somewhat likely,Somewhat disagree,40%,Yes,187,8.0,8.0,Couple with dependent children,5.5,1.0,40%,60%,Female,"Professionals - Business, Human Resource and Marketing Professionals",Very unlikely,Between 5 and 19,5.5,Neither agree nor disagree,0.5,Somewhat disagree,Somewhat agree,Somewhat agree,2021,2.5,Metro
Between 1 and 5 years,6.0,I’m 30% more productive when working remotely,1980,Construction,Neither unlikely or likely,Neither unlikely or likely,Strongly agree,100% - All of my time,No,188,8.0,8.0,Group household,,7.0,100% - I spent all of my time remote working,100% - All of my time,Male,Technicians and trades workers - Other Technicians and Trades Workers,Neither unlikely or likely,More than 200,2.0,Strongly agree,0.5,Strongly agree,Strongly disagree,Strongly agree,2021,1.5,Metro
Between 6 and 12 months,5.0,I’m 20% less productive when working remotely,1997,Administrative and Support,Somewhat likely,Neither unlikely or likely,Strongly agree,60%,No,189,8.0,8.0,Other one family household,3.0,5.0,80%,50% - About half of my time,Female,Technicians and trades workers - Construction Trades Workers,Somewhat likely,Between 1 and 4,3.0,Strongly agree,0.5,Strongly agree,Strongly agree,Somewhat agree,2021,2.0,Regional
More than 5 years,0.0,I’m 50% more productive when working remotely (or more),1979,Education and Training,Very unlikely,Very unlikely,Strongly disagree,100% - All of my time,Yes,190,6.0,6.0,Single person,4.0,0.0,20%,100% - All of my time,Female,Professionals - Education Professionals,Very unlikely,Between 5 and 19,4.0,Strongly disagree,3.0,Strongly disagree,Strongly disagree,Strongly agree,2021,3.0,Metro
More than 5 years,7.0,I’m 20% more productive when working remotely,1988,Other Services,Very likely,Somewhat likely,Somewhat agree,30%,Yes,191,4.0,5.0,Group household,6.0,7.0,20%,10%,Male,"Managers - Chief Executives, General Managers and Legislators",Very likely,Between 20 and 199,2.0,Somewhat agree,8.0,Strongly agree,Strongly agree,Somewhat agree,2021,2.0,Metro
More than 5 years,4.0,I’m 10% more productive when working remotely,1960,"Professional, Scientific and Technical",Neither unlikely or likely,Neither unlikely or likely,Somewhat agree,80%,No,192,7.5,8.0,Couple with no dependent children,3.5,4.0,80%,80%,Female,"Professionals - Design, Engineering, Science and Transport Professionals",Somewhat unlikely,More than 200,4.5,Neither agree nor disagree,0.5,Somewhat agree,Strongly agree,Somewhat agree,2021,2.0,Metro
More than 5 years,4.0,My productivity is about same when I work remotely,1974,Financial and Insurance,Somewhat likely,Somewhat likely,Somewhat agree,100% - All of my time,No,193,8.0,9.0,Couple with dependent children,2.0,4.0,20%,100% - All of my time,Female,Clerical and administrative workers - Numerical Clerks,Neither unlikely or likely,Between 20 and 199,3.0,Somewhat agree,0.0,Neither agree nor disagree,Somewhat agree,Somewhat disagree,2021,2.0,Metro
Between 6 and 12 months,3.0,I’m 40% more productive when working remotely,2002,Education and Training,Neither unlikely or likely,Somewhat unlikely,Somewhat disagree,40%,Yes,194,6.0,8.0,Single person,4.0,4.0,20%,30%,Female,Sales workers - Sales Support Workers,Somewhat likely,Between 5 and 19,3.0,Neither agree nor disagree,3.0,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,2021,3.0,Metro
Between 1 and 5 years,7.0,I’m 20% more productive when working remotely,2000,"Professional, Scientific and Technical",Very unlikely,Very unlikely,Somewhat disagree,100% - All of my time,No,195,5.0,6.0,Other one family household,4.0,3.0,50% - I spent about half of my time remote working,100% - All of my time,Female,Clerical and administrative workers - Other Clerical and Administrative Workers,Very unlikely,More than 200,3.0,Strongly disagree,0.0,Strongly disagree,Strongly disagree,Somewhat agree,2021,4.0,Metro
Between 6 and 12 months,4.0,I’m 10% less productive when working remotely,1980,Information Media and Telecommunications,Somewhat likely,Somewhat likely,Somewhat agree,100% - All of my time,No,196,8.0,8.0,Group household,2.0,4.0,10%,Less than 10% of my time,Female,Professionals - ICT Professionals,Very likely,More than 200,4.0,Somewhat agree,0.0,Somewhat agree,Somewhat agree,Strongly agree,2021,2.0,Metro
More than 5 years,3.0,I’m 10% less productive when working remotely,1974,Retail Trade,Very unlikely,Very unlikely,Neither agree nor disagree,I would prefer not to work remotely,Yes,197,7.0,9.0,Single person,6.0,3.0,Rarely or never,100% - All of my time,Female,"Managers - Hospitality, Retail and Service Managers",Very unlikely,More than 200,4.0,Neither agree nor disagree,4.0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2021,3.0,Metro
More than 5 years,5.0,I’m 50% more productive when working remotely (or more),1972,Information Media and Telecommunications,Somewhat likely,Somewhat likely,Strongly agree,100% - All of my time,No,198,8.0,7.0,Couple with dependent children,3.0,3.0,100% - I spent all of my time remote working,100% - All of my time,Female,"Professionals - Business, Human Resource and Marketing Professionals",Somewhat likely,Between 20 and 199,3.0,Strongly agree,0.0,Strongly agree,Strongly agree,Strongly agree,2021,2.0,Metro
Between 1 and 5 years,8.0,My productivity is about same when I work remotely,1973,Retail Trade,Neither unlikely or likely,Neither unlikely or likely,Neither agree nor disagree,Less than 10% of my time,No,199,5.0,1.0,One parent family with dependent children,6.0,3.0,Less than 10% of my time,Less than 10% of my time,Female,Sales workers - Sales Assistants and Salespersons,Neither unlikely or likely,More than 200,7.0,Neither agree nor disagree,0.0,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,2021,2.0,Regional
Between 6 and 12 months,3.0,I’m 50% more productive when working remotely (or more),1996,"Professional, Scientific and Technical",Somewhat unlikely,Somewhat likely,Strongly disagree,70%,No,200,9.0,9.0,Couple with no dependent children,2.0,3.0,30%,30%,Male,Professionals - ICT Professionals,Somewhat likely,Between 20 and 199,2.0,Neither agree nor disagree,2.0,Somewhat disagree,Strongly disagree,Somewhat agree,2021,2.0,Metro
More than 5 years,3.0,I’m 40% more productive when working remotely,1984,"Professional, Scientific and Technical",Somewhat likely,Somewhat likely,Strongly agree,50% - About half of my time,No,201,8.0,9.0,Group household,4.0,3.0,80%,80%,Female,"Professionals - Business, Human Resource and Marketing Professionals",Somewhat likely,Between 5 and 19,4.0,Somewhat agree,1.0,Strongly agree,Somewhat agree,Somewhat agree,2021,3.0,Metro
More than 5 years,5.5,I’m 50% more productive when working remotely (or more),1971,Administrative and Support,Very likely,Very likely,Strongly agree,100% - All of my time,No,202,5.0,5.0,Couple with no dependent children,4.0,5.0,100% - I spent all of my time remote working,100% - All of my time,Female,Clerical and administrative workers - Personal Assistants and Secretaries,Very likely,Between 1 and 4,5.0,Strongly agree,0.5,Strongly agree,Strongly agree,Strongly agree,2021,2.0,Metro
More than 5 years,3.0,I’m 50% more productive when working remotely (or more),1977,Arts and Recreation,Neither unlikely or likely,Very likely,Strongly agree,100% - All of my time,No,203,9.0,9.0,Couple with dependent children,3.0,4.0,100% - I spent all of my time remote working,100% - All of my time,Female,Professionals - Arts and Media Professionals,Neither unlikely or likely,Between 1 and 4,4.0,Strongly agree,0.0,Strongly agree,Strongly agree,Strongly agree,2021,0.0,Regional
More than 5 years,7.0,I’m 10% more productive when working remotely,1974,Public Administration and Safety,Somewhat likely,Somewhat likely,Strongly agree,80%,Yes,204,7.0,7.0,Couple with no dependent children,2.0,7.0,100% - I spent all of my time remote working,80%,Male,Clerical and administrative workers - Office Managers and Program Administrators,Somewhat likely,More than 200,2.0,Somewhat agree,0.0,Strongly agree,Strongly agree,Somewhat agree,2021,0.0,Metro
More than 5 years,6.0,My productivity is about same when I work remotely,1958,Other Services,Neither unlikely or likely,Neither unlikely or likely,Somewhat disagree,20%,Yes,205,7.0,7.0,Couple with no dependent children,3.0,6.0,Less than 10% of my time,20%,Male,"Managers - Chief Executives, General Managers and Legislators",Neither unlikely or likely,Between 1 and 4,3.0,Strongly disagree,0.0,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,2021,1.0,Metro
Between 1 and 5 years,2.0,I’m 40% more productive when working remotely,1984,"Professional, Scientific and Technical",Neither unlikely or likely,Somewhat likely,Neither agree nor disagree,I would prefer not to work remotely,Yes,206,8.0,8.0,Couple with dependent children,2.0,4.0,20%,I would not have preferred to work remotely,Female,"Professionals - Design, Engineering, Science and Transport Professionals",Somewhat likely,Between 20 and 199,3.0,Somewhat agree,3.0,Somewhat agree,Neither agree nor disagree,Strongly agree,2021,2.0,Metro
More than 5 years,3.0,My productivity is about same when I work remotely,1957,Financial and Insurance,Somewhat likely,Somewhat likely,Somewhat agree,100% - All of my time,No,207,8.0,8.0,Single person,0.0,4.0,100% - I spent all of my time remote working,100% - All of my time,Female,Clerical and administrative workers - Clerical and Office Support Workers,Somewhat likely,More than 200,1.0,Somewhat agree,0.0,Strongly agree,Somewhat agree,Somewhat agree,2021,0.0,Metro
Between 6 and 12 months,4.0,I’m 50% more productive when working remotely (or more),1989,Information Media and Telecommunications,Somewhat likely,Somewhat likely,Strongly agree,40%,Yes,208,4.0,8.0,Couple with no dependent children,1.0,5.0,60%,80%,Male,Professionals - ICT Professionals,Somewhat likely,Between 5 and 19,2.0,Strongly agree,1.0,Strongly agree,Strongly agree,Strongly agree,2021,2.0,Metro
Between 6 and 12 months,,I’m 30% more productive when working remotely,1988,"Agriculture, Forestry and Fishing",Very unlikely,Neither unlikely or likely,Neither agree nor disagree,30%,No,209,,,Couple with no dependent children,,,20%,20%,Female,Community and personal service workers - Health and Welfare Support Workers,Somewhat likely,I am a sole trader/owner-operator,,Somewhat agree,20.0,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,2021,20.0,Regional
Between 6 and 12 months,4.0,I’m 20% more productive when working remotely,1990,Information Media and Telecommunications,Somewhat unlikely,Somewhat likely,Neither agree nor disagree,70%,Yes,210,3.0,4.0,Single person,3.0,3.0,20%,40%,Male,"Managers - Chief Executives, General Managers and Legislators",Somewhat likely,Between 20 and 199,4.0,Somewhat disagree,4.0,Somewhat agree,Neither agree nor disagree,Somewhat disagree,2021,4.0,Metro
Between 1 and 5 years,4.0,My productivity is about same when I work remotely,1974,Wholesale Trade,Neither unlikely or likely,Neither unlikely or likely,Somewhat agree,50% - About half of my time,No,211,8.0,10.0,Couple with dependent children,2.0,3.0,60%,100% - All of my time,Female,Clerical and administrative workers - Personal Assistants and Secretaries,Neither unlikely or likely,Between 20 and 199,4.0,Somewhat disagree,0.0,Neither agree nor disagree,Somewhat disagree,Somewhat agree,2021,3.0,Metro
More than 5 years,6.0,I’m 20% more productive when working remotely,1990,Information Media and Telecommunications,Somewhat likely,Very unlikely,Somewhat disagree,Less than 10% of my time,No,212,8.0,6.0,Couple with dependent children,1.0,6.0,10%,20%,Female,Professionals - ICT Professionals,Neither unlikely or likely,More than 200,3.0,Somewhat agree,1.0,Somewhat disagree,Strongly agree,Strongly disagree,2021,2.0,Metro
Between 1 and 5 years,4.0,I’m 30% more productive when working remotely,1964,Arts and Recreation,Somewhat unlikely,Somewhat unlikely,Somewhat disagree,40%,Yes,213,8.0,8.5,Couple with dependent children,2.0,2.5,10%,30%,Male,Managers - Specialist Managers,Somewhat unlikely,Between 5 and 19,3.0,Somewhat disagree,0.5,Somewhat disagree,Somewhat disagree,Somewhat agree,2021,3.5,Metro
More than 5 years,8.0,I’m 30% more productive when working remotely,1960,Financial and Insurance,Neither unlikely or likely,Neither unlikely or likely,Strongly agree,100% - All of my time,No,214,5.0,5.0,Single person,2.0,8.0,100% - I spent all of my time remote working,100% - All of my time,Male,"Professionals - Business, Human Resource and Marketing Professionals",Very likely,I am a sole trader/owner-operator,2.0,Strongly agree,1.0,Strongly agree,Strongly agree,Strongly disagree,2021,1.0,Metro
